Evento,"Empírico [pre,post]",Empírico Size,Cualitativo ±N,Cualitativo Size,Diferencia,Status
E10_FirstGreenBounce,"[0,0]",1,±1,3,-2,Más pequeño
E11_VolumeBounce,"[0,0]",1,±2,5,-4,Más pequeño
