ticker,eventos_e0
BCRX,63
GERN,53
VXRT,51
SRNE,50
BLDP,43
SGMO,43
KNDI,42
ABK,41
NETE,40
GEVO,40
ALT,39
TUP,39
OCGN,39
CRMD,39
YRCW,38
CLNE,38
VERI,37
ATOS,36
IMGN,36
KERX,36
