ticker,dias_e0
BCRX,63
GERN,53
VXRT,51
SRNE,50
BLDP,43
SGMO,43
KNDI,42
ABK,41
GEVO,40
NETE,40
TUP,39
CRMD,39
OCGN,39
ALT,39
CLNE,38
YRCW,38
VERI,37
ATOS,36
IMGN,36
KERX,36
