ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,snapshot_date,delisted_utc
AAPC,Atlantic Alliance Partnership Corp,stocks,us,XNAS,CS,false,usd,0001630940,,,2025-01-15T16:49:02.081921Z,2025-10-24,2017-10-05T04:00:00Z
HMNY,Helios and Matheson Analytics Inc.,stocks,us,XNAS,CS,false,usd,0001040792,BBG000BYD0W2,BBG001SB58P2,2024-12-03T20:54:48.057994Z,2025-10-24,2019-02-13T05:00:00Z
