ticker,datetime,close_price,event_code,window_suggested,date
PRFT,2004-01-07 14:30:41.000000,2.58,E6_MultipleGreenDays,N/A,2004-01-07
TPX,2004-01-07 14:31:30.679000,16.5,E6_MultipleGreenDays,N/A,2004-01-07
DCTH,2004-01-08 13:05:10.000000,1.38,E6_MultipleGreenDays,N/A,2004-01-08
TPX,2004-01-08 14:30:13.147000,16.82,E6_MultipleGreenDays,N/A,2004-01-08
DCTH,2004-01-09 14:22:57.000000,1.36,E6_MultipleGreenDays,N/A,2004-01-09
TACT,2004-01-09 14:30:25.000000,25.94,E6_MultipleGreenDays,N/A,2004-01-09
TPX,2004-01-09 14:31:03.834000,16.5,E6_MultipleGreenDays,N/A,2004-01-09
IDT,2004-01-09 14:36:47.833000,23.31,E6_MultipleGreenDays,N/A,2004-01-09
TPX,2004-01-12 14:34:03.368000,16.84,E6_MultipleGreenDays,N/A,2004-01-12
QDEL,2004-01-13 14:30:14.000000,11.2,E6_MultipleGreenDays,N/A,2004-01-13
TPX,2004-01-13 14:30:53.498000,17.65,E6_MultipleGreenDays,N/A,2004-01-13
MGPI,2004-01-14 14:22:11.000000,20.28,E6_MultipleGreenDays,N/A,2004-01-14
PRFT,2004-01-14 14:29:42.000000,3.05,E6_MultipleGreenDays,N/A,2004-01-14
NAII,2004-01-16 14:30:13.000000,6.8,E6_MultipleGreenDays,N/A,2004-01-16
DCTH,2004-01-20 14:29:29.000000,1.74,E6_MultipleGreenDays,N/A,2004-01-20
QDEL,2004-01-20 14:30:03.000000,11.92,E6_MultipleGreenDays,N/A,2004-01-20
RCMT,2004-01-20 15:17:01.000000,7.36,E6_MultipleGreenDays,N/A,2004-01-20
DCTH,2004-01-21 13:38:52.000000,1.97,E6_MultipleGreenDays,N/A,2004-01-21
RCMT,2004-01-21 14:32:12.000000,7.42,E6_MultipleGreenDays,N/A,2004-01-21
RCMT,2004-01-22 15:28:55.000000,7.58,E6_MultipleGreenDays,N/A,2004-01-22
RCMT,2004-01-23 14:30:48.000000,7.5,E6_MultipleGreenDays,N/A,2004-01-23
TPX,2004-01-23 14:31:05.486000,16.96,E6_MultipleGreenDays,N/A,2004-01-23
CRD.A,2004-01-23 16:03:26.562000,7.01,E6_MultipleGreenDays,N/A,2004-01-23
TPX,2004-01-26 14:32:40.135000,17.05,E6_MultipleGreenDays,N/A,2004-01-26
PRFT,2004-01-28 13:43:15.000000,3.62,E6_MultipleGreenDays,N/A,2004-01-28
USNA,2004-02-02 14:28:39.000000,34.18,E6_MultipleGreenDays,N/A,2004-02-02
USNA,2004-02-03 13:39:05.000000,34.72,E6_MultipleGreenDays,N/A,2004-02-03
RCMT,2004-02-04 15:02:10.000000,7.4,E6_MultipleGreenDays,N/A,2004-02-04
RCMT,2004-02-05 14:30:09.000000,7.54,E6_MultipleGreenDays,N/A,2004-02-05
DCTH,2004-02-09 14:30:03.000000,1.62,E6_MultipleGreenDays,N/A,2004-02-09
AGM,2004-02-09 14:30:04.751000,28.25,E6_MultipleGreenDays,N/A,2004-02-09
AGM,2004-02-10 14:30:07.767000,28.72,E6_MultipleGreenDays,N/A,2004-02-10
NAII,2004-02-10 14:30:31.000000,6.46,E6_MultipleGreenDays,N/A,2004-02-10
NAII,2004-02-11 14:30:33.000000,6.49,E6_MultipleGreenDays,N/A,2004-02-11
CPSS,2004-02-13 14:51:21.000000,3.57,E6_MultipleGreenDays,N/A,2004-02-13
CPSS,2004-02-17 14:30:35.000000,3.66,E6_MultipleGreenDays,N/A,2004-02-17
RCMT,2004-02-17 14:44:34.000000,7.42,E6_MultipleGreenDays,N/A,2004-02-17
NAII,2004-02-20 14:32:19.000000,6.78,E6_MultipleGreenDays,N/A,2004-02-20
GRIL,2004-02-23 14:30:36.000000,3.405,E6_MultipleGreenDays,N/A,2004-02-23
NAII,2004-02-23 14:42:26.000000,6.96,E6_MultipleGreenDays,N/A,2004-02-23
PRFT,2004-02-26 14:30:17.000000,3.58,E6_MultipleGreenDays,N/A,2004-02-26
TACT,2004-02-27 13:12:25.000000,27.07,E6_MultipleGreenDays,N/A,2004-02-27
PRFT,2004-02-27 14:30:18.000000,3.95,E6_MultipleGreenDays,N/A,2004-02-27
LPSN,2004-02-27 14:30:20.000000,4.53,E6_MultipleGreenDays,N/A,2004-02-27
LPSN,2004-03-01 13:09:11.000000,4.78,E6_MultipleGreenDays,N/A,2004-03-01
PRFT,2004-03-01 13:11:44.000000,4.21,E6_MultipleGreenDays,N/A,2004-03-01
TACT,2004-03-01 14:30:00.000000,28.9,E6_MultipleGreenDays,N/A,2004-03-01
TPX,2004-03-01 14:30:26.921000,16.4,E6_MultipleGreenDays,N/A,2004-03-01
DCTH,2004-03-01 14:30:54.000000,1.7,E6_MultipleGreenDays,N/A,2004-03-01
AGM,2004-03-01 14:31:47.551000,27.55,E6_MultipleGreenDays,N/A,2004-03-01
TACT,2004-03-02 14:12:09.000000,30.0,E6_MultipleGreenDays,N/A,2004-03-02
PRFT,2004-03-02 14:29:55.000000,4.06,E6_MultipleGreenDays,N/A,2004-03-02
