ticker,dias_e0
BCRX,63
GERN,53
VXRT,51
SRNE,50
SGMO,43
BLDP,43
KNDI,42
ABK,41
NETE,40
GEVO,40
OCGN,39
ALT,39
TUP,39
CRMD,39
YRCW,38
CLNE,38
VERI,37
KERX,36
IMGN,36
ATOS,36
