Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BAER,BAER,BAER,BAER,BAER,BAER
Date,,,,,,
2025-05-13,1.6399999856948853,1.6399999856948853,1.649999976158142,1.5199999809265137,1.5199999809265137,194800
2025-05-14,1.5399999618530273,1.5399999618530273,1.649999976158142,1.5199999809265137,1.649999976158142,97400
