Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMC,AMC,AMC,AMC,AMC,AMC
Date,,,,,,
2025-05-13,2.740000009536743,2.740000009536743,2.819999933242798,2.740000009536743,2.75,7598400
2025-05-14,2.740000009536743,2.740000009536743,2.809999942779541,2.7300000190734863,2.759999990463257,7859400
