Price,Close,High,Low,Open,Volume
Ticker,BTBT,BTBT,BTBT,BTBT,BTBT
Date,,,,,
2025-05-13,2.240000009536743,2.2799999713897705,2.130000114440918,2.2300000190734863,17187400
2025-05-14,2.140000104904175,2.2799999713897705,2.119999885559082,2.2699999809265137,15023400
