Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GRI,GRI,GRI,GRI,GRI,GRI
Date,,,,,,
2025-05-13,1.4900000095367432,1.4900000095367432,1.6200000047683716,1.4800000190734863,1.5700000524520874,116800
2025-05-14,1.4700000286102295,1.4700000286102295,1.5199999809265137,1.4199999570846558,1.5,150700
